iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
IND,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-122128181.5693797,,annual,,
IND,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-187042578.72122228,,annual,,
IND,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-163545719.95031443,,annual,,
IND,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-252835154.3566209,,annual,,
IND,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-153303680.60051587,,annual,,
IND,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,-191853152.1188808,,annual,,
IND,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,-218557590.2469692,,annual,,
IND,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-285229973.4149485,,annual,,
IND,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-8969746.386987869,,annual,,
IND,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,-8969746.386987856,,annual,,
