iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
IND,forestry-and-land-use,wetland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,148168.78607965578,,annual,,
IND,forestry-and-land-use,wetland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,252250.53146775824,,annual,,
IND,forestry-and-land-use,wetland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,177611.66274756423,,annual,,
IND,forestry-and-land-use,wetland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,123516.71160906828,,annual,,
IND,forestry-and-land-use,wetland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,167311.22173023678,,annual,,
IND,forestry-and-land-use,wetland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,76999.7388953753,,annual,,
IND,forestry-and-land-use,wetland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,312391.553922,,annual,,
IND,forestry-and-land-use,wetland-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,29276.192496700005,,annual,,
IND,forestry-and-land-use,wetland-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,21443.673183358336,,annual,,
IND,forestry-and-land-use,wetland-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,21443.673117031118,,annual,,
